,category,reviewTitle,rating,relevanceScore
222,beli-harddisk-eksternal,"Kurang puas..,",3,27
298,beli-harddisk-eksternal,Saran,3,17
441,beli-harddisk-eksternal,Tanya dulu,3,19.67
539,beli-harddisk-eksternal,Barang nya kok belum sampai udh seminggu,3,21.17
617,beli-harddisk-eksternal,Lama pengiriman dan sistemnya kosong,3,30.34
620,beli-harddisk-eksternal,"terima kasih, barang sesuai gambar dan diterima dengan baik...",3,15.45
671,beli-harddisk-eksternal,Excellent,3,27.73
695,beli-harddisk-eksternal,Lumayan,3,19.5
730,beli-harddisk-eksternal,Kualitas standard,3,28.01
958,beli-harddisk-eksternal,Kiriman tepat waktu,3,24.8
968,beli-harddisk-eksternal,Gak konsisten,3,17.53
999,beli-harddisk-eksternal,apakah pengiriman nya cepat,3,22.8
1046,beli-harddisk-eksternal,mengulas casing harrdisk eksternal,3,29.01
1049,beli-harddisk-eksternal,Barang bagus,3,26.09
1055,beli-harddisk-eksternal,Bertanya,3,24.67
1060,beli-harddisk-eksternal,casenya ok,3,24.01
1167,beli-harddisk-eksternal,Good,3,27.51
1168,beli-harddisk-eksternal,Sedikit kecewa,3,27.43
1175,beli-harddisk-eksternal,Barangnya bagus sesuai spec,3,24.1
1232,beli-harddisk-eksternal,Barang ori,3,17.34
1263,beli-harddisk-eksternal,Recommended,3,33.01
1323,beli-harddisk-eksternal,Pengembalian,3,20.51
1539,beli-harddisk-eksternal,Kualitas produk,3,20.51
1610,beli-harddisk-eksternal,Tanya,3,17.5
1663,beli-harddisk-eksternal,Kode aktivasi kaspreskynya gak valid,3,27.48
1668,beli-harddisk-eksternal,Tiga Bintang,3,20.36
1687,beli-harddisk-eksternal,Mengecewakan,3,24.68
1726,beli-harddisk-eksternal,Tiga Bintang,3,16.19
1732,beli-harddisk-eksternal,WD My Passport New Design 4TB,3,17.57
1738,beli-harddisk-eksternal,Sangat baik,3,20.43
1797,beli-harddisk-eksternal,good,3,29.01
2490,beli-harddisk-eksternal,tidak sesuai,3,23.84
2678,beli-harddisk-eksternal,Kurang lengkap,3,17.52
2679,beli-harddisk-eksternal,Kurang,3,17.44
2816,beli-harddisk-eksternal,isinya 1.81 TB,3,22.51
3091,beli-harddisk-eksternal,baik,3,16.76
3267,beli-harddisk-eksternal,kurir nye kurang di tatar,3,29.01
3271,beli-harddisk-eksternal,ckup bagus,3,20.51
3313,beli-harddisk-eksternal,Tiga Bintang,3,28.01
3356,beli-harddisk-eksternal,"barang oke, tapi..",3,21.51
3392,beli-harddisk-eksternal,Produk ok,3,20.51
3403,beli-harddisk-eksternal,tahap test produk,3,20.51
3775,beli-harddisk-eksternal,kurang seperti ekspektasi saya,3,29.47
3809,beli-harddisk-eksternal,Hard case,3,19.85
3916,beli-harddisk-eksternal,puas,3,20.51
3995,beli-harddisk-eksternal,Menunggu tindak lanjut,3,27.69
4006,beli-harddisk-eksternal,lumayan,3,31.51
4232,beli-harddisk-eksternal,Standar,3,21.51
4308,beli-harddisk-eksternal,Tiga Bintang,3,31.88
4445,beli-harddisk-eksternal,"Pengiriman cepat, barang tdk bisa milih",3,20.51
4661,beli-harddisk-eksternal,kecil,3,20.5
4866,beli-harddisk-eksternal,Tiga Bintang,3,16.6
5309,beli-harddisk-eksternal,sampai dengan cepat pakingx bagus barangx belum tak coba terimakasih lazada,3,21.51
5317,beli-harddisk-eksternal,Tiga Bintang,3,21.51
5340,beli-harddisk-eksternal,Recomended,3,20.51
5344,beli-harddisk-eksternal,pengiriman,3,20.51
5354,beli-harddisk-eksternal,salah beli,3,20.51
5480,beli-harddisk-eksternal,Pengembalian barang,3,20.51
5514,beli-harddisk-eksternal,kurang memuaskan,3,21.51
5587,beli-harddisk-eksternal,Tidak sesuai,3,19.5
5687,beli-harddisk-eksternal,Pertanyaan,3,19.75
5746,beli-harddisk-eksternal,Sudah sampai pesanan saya...,3,22.84
5749,beli-harddisk-eksternal,Bagus,3,21.51
5789,beli-harddisk-eksternal,Tolong dijawab gan penting !!,3,22.16
5829,beli-harddisk-eksternal,Tidak ke detect,3,20.51
5844,beli-harddisk-eksternal,Tiga Bintang,3,30.51
5854,beli-harddisk-eksternal,Brg dtg cukup cepat,3,22.96
5906,beli-harddisk-eksternal,Hdmi,3,15.01
5917,beli-harddisk-eksternal,Tidak sesuai pesanan,3,32.83
6006,beli-harddisk-eksternal,Flashdisk,3,29.01
6011,beli-harddisk-eksternal,Barang lama sampai,3,20.51
6151,beli-harddisk-eksternal,Agak kecewa,3,30.89
6444,beli-harddisk-eksternal,Barang oke pengiriman kurang oke,3,28
6478,beli-harddisk-eksternal,Lumayan,3,21.26
6726,beli-harddisk-eksternal,Bagus dan keren tapi 1 tiba2 tdk terbaca,3,21.51
6826,beli-harddisk-eksternal,Terima kasih,3,27
6882,beli-harddisk-eksternal,Alhamdulillah,3,31.5
6933,beli-harddisk-eksternal,kurang memuaskan,3,27.36
7082,beli-harddisk-eksternal,produk dan pelayanan,3,27.55
7182,beli-harddisk-eksternal,USB,3,23.25
7203,beli-harddisk-eksternal,Flasdisk,3,19.5
7282,beli-harddisk-eksternal,Bagus tapi,3,28.01
7440,beli-harddisk-eksternal,Lumayan lah,3,22
7453,beli-harddisk-eksternal,Bagus But...,3,19.61
7470,beli-harddisk-eksternal,Kecewa,3,19.5
7850,beli-harddisk-eksternal,Maunya 2bintang,3,21.28
7881,beli-harddisk-eksternal,Paket kondisi lengkap ?,3,28.01
7889,beli-harddisk-eksternal,Ulasan yang jujur,3,20.51
7941,beli-harddisk-eksternal,"Barang Bagus, Package dan Pengiriman Mengecewakan",3,28
7990,beli-harddisk-eksternal,Packaging cukup mengecewakan,3,32.23
7992,beli-harddisk-eksternal,"Bagus, Baik, tapiiii",3,28.01
8036,beli-harddisk-eksternal,Garansi,3,25.3
8129,beli-harddisk-eksternal,Pengiriman Lama,3,31.34
8162,beli-harddisk-eksternal,Ext Hardisk,3,28.01
8171,beli-harddisk-eksternal,Tiga Bintang,3,22.87
8219,beli-harddisk-eksternal,tanya garansi,3,30.2
8273,beli-harddisk-eksternal,packing,3,19.5
8297,beli-harddisk-eksternal,barang tidak sama seperti yang di gambar,3,20.47
9093,beli-harddisk-eksternal,ternyata case HDD.. oupsss,3,25.51
9423,beli-harddisk-eksternal,Lumayan,3,20.51
9486,beli-harddisk-eksternal,Tidak sesuai dengan dijanjikan,3,24.01
9503,beli-harddisk-eksternal,Lumayan,3,32.45
9658,beli-harddisk-eksternal,too slow,3,22.49
9695,beli-harddisk-eksternal,hdd,3,20.17
9698,beli-harddisk-eksternal,CUKUP BERKESAN,3,21.51
9820,beli-harddisk-eksternal,Sy sudah pesan bayar ditmpat segera dikirim,3,20.51
9927,beli-harddisk-eksternal,Barang sesuai,3,23.09
9978,beli-harddisk-eksternal,KeCewa,3,20.51
10113,beli-harddisk-eksternal,mohon diganti flashdisknya ga kebaca,3,30.51
10229,beli-harddisk-eksternal,pengiriman cepat,3,29.99
10392,beli-harddisk-eksternal,Sampe paketan,3,18.01
10394,beli-harddisk-eksternal,Cepet,3,31.49
10443,beli-harddisk-eksternal,sesuai pesanan,3,23.01
10489,beli-harddisk-eksternal,Windows,3,31.76
10542,beli-harddisk-eksternal,Tentang barAng,3,25.5
10683,beli-harddisk-eksternal,Bermasalah,3,22.96
10721,beli-harddisk-eksternal,.,3,16.73
10723,beli-harddisk-eksternal,Lumayan,3,30.51
10795,beli-harddisk-eksternal,Bukan Aluminium,3,20.51
10802,beli-harddisk-eksternal,Produk bagus,3,20.45
10837,beli-harddisk-eksternal,Barang tida datang,3,22
10849,beli-harddisk-eksternal,Salah Persepsi,3,28.01
10938,beli-harddisk-eksternal,Warna salah.,3,21.51
10948,beli-harddisk-eksternal,External Hdd 1Tb Usb 3.1 Adata HD710 Pro Bukan Yang Biasa / Antishock / Waterproof / Dustproof/ Ext HDD Adata 710 Pro / Hardisk External - Merah + Gratis Case Hdd,3,28.81
11071,beli-harddisk-eksternal,Recomended,3,30.51
11192,beli-harddisk-eksternal,biasa saja. ga berlebihan...thx anyway,3,16.51
11205,beli-harddisk-eksternal,warna produk,3,21.51
11207,beli-harddisk-eksternal,"Barang Oke, dan Sesuai Deskrispi",3,20.23
11208,beli-harddisk-eksternal,Case,3,20.16
11211,beli-harddisk-eksternal,Testimony,3,19.47
11248,beli-harddisk-eksternal,sippp,3,19.24
11252,beli-harddisk-eksternal,Case,3,17.66
11292,beli-harddisk-eksternal,Puas,3,28.01
11533,beli-harddisk-eksternal,siplah..,3,24.01
11843,beli-harddisk-eksternal,Barang ok tetapi bonus mengecewaka,3,30.51
11872,beli-harddisk-eksternal,Asli,3,29.01
11875,beli-harddisk-eksternal,Bagus,3,28.01
12330,beli-harddisk-eksternal,Keluhan,3,20.51
12337,beli-harddisk-eksternal,Cocok,3,21.5
12753,beli-harddisk-eksternal,mungkin saya kurang beruntung,3,32.51
12758,beli-harddisk-eksternal,kok ga berfungsi,3,22.49
12902,beli-harddisk-eksternal,orico hdd protector,3,19.45
13113,beli-harddisk-eksternal,Ga ada OTG,3,21.51
13166,beli-harddisk-eksternal,Barang tidak sepenuhnya bisa,3,21.51
13310,beli-harddisk-eksternal,cukup baik,3,22.49
13377,beli-harddisk-eksternal,Kaget,3,31.33
14073,beli-harddisk-eksternal,Pesanan belum sampai,3,31.34
14137,beli-harddisk-eksternal,ok,3,28.05
14147,beli-harddisk-eksternal,#3434195772,3,27.43
14219,beli-harddisk-eksternal,pembatalan,3,24.55
14253,beli-harddisk-eksternal,Cukup bagus,3,23.88
14365,beli-harddisk-eksternal,beli onlain,3,21.79
14388,beli-harddisk-eksternal,Bertanya,3,21.34
14456,beli-harddisk-eksternal,Mantap,3,19.09
14595,beli-harddisk-eksternal,Ppn,3,17.57
14687,beli-harddisk-eksternal,Lumayan,3,16.99
15392,beli-harddisk-eksternal,"Sharp 24""",3,31.65
15439,beli-harddisk-eksternal,Gambar kurang jernih,3,31.37
15525,beli-harddisk-eksternal,puas dng barang'y,3,29.6
15571,beli-harddisk-eksternal,Semoga beres,3,29.45
15589,beli-harddisk-eksternal,cepat sampai...tapi kotak tidak rapi lagi,3,29.01
15601,beli-harddisk-eksternal,"CEPAT, TIDAK ADA KENDALA",3,29.01
15717,beli-harddisk-eksternal,Ada slot USB namun hanya untuk Service Only*,3,27.76
15732,beli-harddisk-eksternal,Tepat waktu,3,27.49
15736,beli-harddisk-eksternal,Agak kecewa,3,27.38
15743,beli-harddisk-eksternal,produk barang memuaskan,3,27.32
15793,beli-harddisk-eksternal,"Sharp led 24""",3,27.08
15805,beli-harddisk-eksternal,waktu nunggu lebih lama,3,27.02
15821,beli-harddisk-eksternal,OK,3,27
15824,beli-harddisk-eksternal,Speaker tdk berfungsi dgn baik,3,27
15828,beli-harddisk-eksternal,Kualiatas ok pengiriman cepat,3,27
15829,beli-harddisk-eksternal,Kurir kurang bagus,3,27
15830,beli-harddisk-eksternal,"harganya beda lgi, jadi ragu, harap2 cemas",3,27
15833,beli-harddisk-eksternal,Oke tapi ada yang kurang,3,27
15850,beli-harddisk-eksternal,TV bagus tapi layanan kurang memuaskan,3,26.83
15859,beli-harddisk-eksternal,Puas,3,26.81
15979,beli-harddisk-eksternal,KUALITAS LAYAR BERBANDING TERBALIK DENGAN KUALITAS SOUND DAN BUILD QUALITY,3,37.07
16021,beli-harddisk-eksternal,Lumayan,3,31.76
16043,beli-harddisk-eksternal,Mantaappp,3,30.75
16061,beli-harddisk-eksternal,Tidak sesuai produk,3,30.51
16070,beli-harddisk-eksternal,Barang bagus harga miring,3,30.13
16074,beli-harddisk-eksternal,pengiriman lama,3,30.01
16153,beli-harddisk-eksternal,kecewa,3,28.81
16155,beli-harddisk-eksternal,Akhirnya datang jg...,3,28.79
16162,beli-harddisk-eksternal,Lama banget.,3,28.01
16186,beli-harddisk-eksternal,Barang murah tp bagus,3,28.01
16189,beli-harddisk-eksternal,Alhamdulillah sampai juga,3,28.01
16213,beli-harddisk-eksternal,pengiriman 6 hari,3,28.01
16271,beli-harddisk-eksternal,"Barang Bagus, Delevery cepat",3,27
16328,beli-harddisk-eksternal,Lama menunggu,3,23.5
16330,beli-harddisk-eksternal,Harga turun naik,3,23.25
16350,beli-harddisk-eksternal,Produk standar. Pengiriman cepat & gratis,3,23.01
16379,beli-harddisk-eksternal,bahan nya kurang bagus,3,22
16409,beli-harddisk-eksternal,barang oke,3,21.51
16475,beli-harddisk-eksternal,lumayan cepet,3,21.51
16502,beli-harddisk-eksternal,Barang sesuai semoga barangnya berkualitas baik ..pemakai bisa puas terhibur..,3,21.51
16525,beli-harddisk-eksternal,cara menampilkan subtitle bingung,3,21.48
16550,beli-harddisk-eksternal,Barang belum sampai,3,21.28
16569,beli-harddisk-eksternal,Nice,3,20.51
16588,beli-harddisk-eksternal,Kualitas barang sesuai harga,3,20.51
16589,beli-harddisk-eksternal,Agak kecewa,3,20.51
16597,beli-harddisk-eksternal,tv led 32 inch HD TV,3,20.51
16647,beli-harddisk-eksternal,Philips 32' LED HD TV,3,20.51
16651,beli-harddisk-eksternal,Kualitas gambarnya kok pecah pecah,3,20.51
16662,beli-harddisk-eksternal,lama nyampai,3,20.51
16698,beli-harddisk-eksternal,Beli tv,3,20.03
16702,beli-harddisk-eksternal,"Produk tv Philip 32"" ledakan hd tv",3,20.01
16710,beli-harddisk-eksternal,Bagus...,3,19.93
16718,beli-harddisk-eksternal,TV ku belum aku Terima,3,19.61
16719,beli-harddisk-eksternal,Ok banget,3,19.61
16824,beli-harddisk-eksternal,Sebagian tidak puas,3,17.53
16825,beli-harddisk-eksternal,Tiga Bintang,3,17.53
16835,beli-harddisk-eksternal,FREE BRACKETNYA NGGAK ADA!?,3,17.49
16838,beli-harddisk-eksternal,Senang plus kecewa,3,17.47
16842,beli-harddisk-eksternal,Pengiriman lama,3,17.44
16847,beli-harddisk-eksternal,Barang mantap pengiriman lama,3,17.1
16885,beli-harddisk-eksternal,"Philips 32"" LED TV",3,17
16957,beli-harddisk-eksternal,Tudak ada bonus bracket,3,15.51
16984,beli-harddisk-eksternal,"Barang sudah dikembalikan,  mohon ditukar",3,31.94
17005,beli-harddisk-eksternal,Nice,3,22.35
17006,beli-harddisk-eksternal,Pertanyaan,3,21.92
17011,beli-harddisk-eksternal,Good,3,19.82
17094,beli-harddisk-eksternal,Sukses instal os di dos,3,17
17100,beli-harddisk-eksternal,Pertanyaan,3,15.01
17152,beli-harddisk-eksternal,Good,3,31.62
17162,beli-harddisk-eksternal,cukup puas,3,28.98
17169,beli-harddisk-eksternal,Puas walau sdikit kecewa,3,27.97
17205,beli-harddisk-eksternal,Salah warna produk,3,20.51
17354,beli-harddisk-eksternal,Kurang puas,3,23.46
17356,beli-harddisk-eksternal,"Barang lumayan,tapi sayang pengiriman lambat",3,22.84
17407,beli-harddisk-eksternal,asus x441sa- bx002- ram 2gb- intel celeron,3,27.1
17416,beli-harddisk-eksternal,asus x441sa,3,21.55
17471,beli-harddisk-eksternal,asus,3,20.51
17748,beli-harddisk-eksternal,Jangan pake JNE,3,37.74
17750,beli-harddisk-eksternal,Pengembalian Uang,3,32.72
17773,beli-harddisk-eksternal,bagus tapi PARAH,3,29.01
17774,beli-harddisk-eksternal,lumayan,3,29.01
17781,beli-harddisk-eksternal,Kurir,3,28.79
17809,beli-harddisk-eksternal,Kode Resi POS tidak bisa dilacak,3,21.51
17810,beli-harddisk-eksternal,speaker gak bagus,3,21.5
18007,beli-harddisk-eksternal,"ISI HANYA 14,5 GB BUKAN 16 GB",3,29.99
18044,beli-harddisk-eksternal,Sedikit kurang bagus,3,29.01
18061,beli-harddisk-eksternal,Error Status Pesanan,3,29
18105,beli-harddisk-eksternal,banyak bad sector,3,28.01
18123,beli-harddisk-eksternal,Garansi nya kaya apa?,3,28.01
18154,beli-harddisk-eksternal,Kok beda?,3,28.01
18162,beli-harddisk-eksternal,Cman muat 8GB,3,28.01
18167,beli-harddisk-eksternal,Lubang sempit,3,28
18168,beli-harddisk-eksternal,Barang belum sampai,3,28
18202,beli-harddisk-eksternal,Sesuai pesanan,3,27.77
18213,beli-harddisk-eksternal,Ngambil Paket Sendiri,3,27.7
18220,beli-harddisk-eksternal,Lazada FD sampainya lama ya..,3,27.46
